spot_id,관광지,평균 상주시간(분),재방문비율,재방문의향점수,평균 동반자수,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","문화 시설(공연장, 영화관, 전시관 등)","상업지구(거리, 시장, 쇼핑시설)","레저/스포츠 관련 시설(스키, 카트, 수상레저)","테마시설(놀이공원, 워터파크)","산책로, 둘레길 등",지역 축제/행사,체험 활동 관광지
spot_380,9.81파크,124.1584158,0.118811881,4.207920792,1.75,0,0,0,0,1,1,0,0,1
spot_382,왈종미술관,42,0,3.6,0.888888889,0,0,1,0,0,0,0,0,0
spot_383,제주항공우주박물관,126.1538462,0.256410256,3.615384615,2.323529412,0,1,0,0,0,0,0,0,0
spot_384,귤귤스토어,26.25,0.125,3.75,2.571428571,0,0,0,1,0,0,0,0,0
spot_385,해녀박물관,52.5,0.125,3.775,1.266666667,0,1,0,0,0,0,0,0,0
spot_388,호텔시리우스,180,1,5,2,0,0,0,0,1,0,0,0,0
spot_389,지미봉,55.38461538,0.153846154,4.230769231,0.25,1,0,0,0,0,0,1,0,0
spot_390,메이즈랜드,75,0.133333333,3.2,2.791666667,0,0,0,0,0,1,0,0,1
spot_391,신화워터파크,203.6842105,0.263157895,4,3.333333333,0,0,0,0,0,1,0,0,0
spot_393,화순금모래해수욕장,210,0.238095238,3.857142857,0.642857143,1,0,0,0,0,0,0,0,0
spot_395,소랑한닮,30,0,4,3,0,0,0,1,0,0,0,0,0
spot_397,훈데르트바서파크,61.875,0.020833333,3.604166667,1.702702703,0,1,1,0,0,1,1,0,1
spot_400,하이제주,36,0.2,4.2,1,0,0,0,1,0,0,0,0,0
spot_401,레몬뮤지엄,40.90909091,0,3.454545455,1.857142857,0,0,1,0,0,0,0,0,0
